"","Group.1","injured_for","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc"
"1",0,1057,1.02099637389038,1.09871700188309,1.03991915080049,1.13091305095949,1.0562801013024,1.18438114799006,1.08398999053752,1.28158758679683,1.23504649437304,1.21134900605524,1.11467439777429,1.11020275742274,1.15663289911216,1.2417880169004,1.02647418849512,1.21504994531579,1.12812758540699,1.09086400777653,1015759840269752
"2",1,592,1.05381191417884,1.10264501616866,1.10245828810241,1.11809572186148,1.06734808362229,1.29546972566152,1.12022561094045,1.37995565868545,1.32669038872849,1.11888330978442,1.18420740940646,1.12412418339934,1.21310787765895,1.22527327485967,1.03160553593693,1.24384832568351,1.20558769065595,1.1450569161174,0.874432309377849
"3",2,201,0.986828152685285,1.14309523187117,1.0644126926106,1.14407650864477,1.07669712760655,1.20305790751595,1.18366416075815,1.05700781843111,1.07374573019732,1.17367218521969,1.15928128074085,1.15568525502297,1.11823961157577,1.20008240090207,0.930378612615455,1.042318883093,1.09780240980623,1.14787817586292,1.37294443533738
"4",3,91,1.02506862223316,1.12826949626858,1.05876447630032,0.985428639423208,1.08297535988939,1.38647606391233,1.10983101600399,1.21141590914569,1.23238784292128,1.00083396894743,1.09130721046297,1.0484619225122,1.17064677967685,1.06841563786008,1.36145382395382,1.3377348578614,1.25140513360908,1.14122501972498,1.0723121637702
"5",4,68,0.94953520938498,1.09638167323605,1.03681377339,1.19423343632471,1.07657041740601,1.38620199245199,1.22052280116752,1.04616017713504,1.07678865833003,1.28457994646519,1.36448285975973,1.24806903662947,1.25329074104444,0.954600719431228,1.19439378588315,1.08295398178211,1.16328854968561,1.04540975905112,1.31253602760637
"6",5,55,0.965498944410797,0.970750103493769,0.927652812093487,0.998623056783124,0.936180606168932,1.28428571428571,0.969274500254362,1.38207987555879,1.24399302053538,0.958190817953976,1.04321993347049,1.02527425865007,1.1330853152977,1.31686202686203,1.11739417989418,1.15657933719528,1.25814125268671,1.00909469977008,0.488934416932356
"7",6,31,1.03591357606193,1.03392979587261,1.23128570794133,1.06134842232235,1.0440347374682,1.28293490135595,1.26755239119629,0.996083668353783,1.1770641884463,1.04961787184009,1.32939246546937,1.36440886121835,1.0996096569271,1.10890022675737,0.701834045584046,1.18199273844435,1.12672041220428,1.09429502856206,1.26495307288395
"8",7,20,0.961242619896047,1.21646422355755,1.04339073834022,1.46467693493682,1.45404070322306,0.852056277056277,1.02433298292589,1.28816017316017,1.59468416352048,1.86787802840434,1.2105158468271,1.22578573818832,1.2611541005291,1.42063492063492,1.06883116883117,1.1884358974359,0.817174720704132,1.19381603727956,-1.25696985592613
"9",8,20,0.935899251334741,1.1280328031415,1.07075636571974,1.22141581116539,1.1779431830985,1.40979853479853,1.12668905168905,1.4625248015873,1.43137003740991,1.21325757575758,1.17458038812773,1.10241493891011,1.15778433775035,1.05925925925926,0.802564102564103,0.787440159478203,1.2297266214178,1.21430874135748,3.10717530373156
"10",9,11,0.742837415296243,0.78982563935542,0.86689051635973,0.745339342030519,0.986364115538689,1.08854166666667,1.14497289169164,0.812843297053823,0.851369886797694,1.22125097125097,0.726027372430194,0.757404577992813,1.13935800694694,0.55,0.603571428571429,0.700800209891119,0.717539026629936,0.798131514576204,0.747345603096207
"11",10,4,0.771290204678363,0.474247685185185,0.856638418079096,0.757575757575758,0.929924242424242,0.438095238095238,0.852564102564103,1.21875,1.14761904761905,2,0.552380952380952,0.626420454545454,1.71746031746032,0.805555555555556,0,0.872183372183372,0.253846153846154,0.622825059101655,-0.669248251748253
"12",11,2,2.68033573141487,0.666666666666667,5.61538461538461,0.428571428571429,0.291666666666667,0.785714285714286,2.05357142857143,1,0.666666666666667,1,1.44444444444444,1.36363636363636,0.666666666666667,1,1,2.66666666666667,5,0.701754385964912,-0.293912175648703
"13",12,7,1.43513660261673,1.64756493506494,1.10269632930446,1.59284621289532,1.32078616820197,1.7,1.35851235230934,1.57088744588745,1.08078231292517,1.56481481481481,1.48230519480519,1.50182748538012,1.00305555555556,1.71666666666667,2.42857142857143,2.23881766381766,1.42820654577621,1.6142746641002,4.54350171857888
"14",13,2,0.73298898923667,0.505050505050505,0.552083333333333,0.363095238095238,0.55952380952381,0.4,0.454166666666667,1.6,0.696428571428572,0.416666666666667,1.15384615384615,0.991228070175439,3.09615384615385,1.125,1.5,0.722222222222222,0.991071428571429,0.564166666666667,0.72573776052463
"15",14,8,1.27056245035793,1.15928383740884,1.0997031070732,1.10076754385965,1.15703466560321,0.747895622895623,0.479801587301587,0.754816611959469,0.76921768707483,1.03809523809524,2.05047123015873,1.61162464985994,0.920723684210526,1.5952380952381,0.41991341991342,1.31666666666667,1.5857683982684,1.18095081734669,1.53337078004401
"16",15,2,0.8796875,2.90909090909091,0.984375,1.03409090909091,0.75297619047619,NA,3.75,0.857142857142857,1.14285714285714,0.375,0.883620689655172,1.07657657657658,2.25,0.825,0.208333333333333,3.875,1.85714285714286,4.47629310344828,1.4957264957265
"17",16,1,1.37777777777778,1.75,1.76923076923077,1.75,1.66666666666667,NA,3,2,2,NA,1.25,2.25,2.16666666666667,NA,NA,4,1,1.83333333333333,3.05263157894737
"18",17,2,1.30316091954023,0.35,0.818181818181818,0.321428571428571,0.653846153846154,0.333333333333333,1.11111111111111,0,0.75,1,1.075,1.08333333333333,0.722222222222222,2,0,0.583333333333333,1.97222222222222,0.6,0.135942901750864
"19",18,1,0.491803278688525,0.625,1.06060606060606,0.5,0.9375,0.833333333333333,1.17647058823529,0.357142857142857,0.277777777777778,0,0.535714285714286,0.5,0.75,0,1.25,3.33333333333333,0.192307692307692,0.611111111111111,0.184210526315789
"20",24,1,0.948453608247423,1.11764705882353,1.3030303030303,0.666666666666667,0.952380952380952,2.2,1.91666666666667,1.66666666666667,1.5,0.333333333333333,1,0.777777777777778,6,0.666666666666667,NA,0.2,1.5,1.33333333333333,1.38243626062323
"21",26,4,0.791152720078025,0.815297080198903,0.879837400879247,0.778813131313131,0.883622439463261,0.888888888888889,0.465789473684211,0.625,0.864130434782609,1.1875,0.751698369565217,0.844016541122803,0.480059523809524,0.611111111111111,1.33333333333333,1.17708333333333,1.1781746031746,0.7808614996115,0.641288629585852
"22",27,37,0.979150762162611,0.961099938324132,0.975212243526666,1.07534904332818,1.02660411087589,1.01525830165469,1.03177351372699,1.1751296841636,1.03305748106882,1.2817846439275,1.02205856475745,1.04954679482803,1.06796653701902,0.979434304434304,1.19310344827586,1.25576499326499,1.2100084975085,0.967086139087219,0.733028667276713
"23",28,118,1.0664041067553,1.23391014400605,1.06045311470363,1.24504422536118,1.0715591817454,1.39045273394402,1.39618034928415,1.0870763601449,1.14185603285816,1.08766184481232,1.11856754228839,1.0519752140903,0.923784639393553,1.1427657990158,1.12959493077302,1.37942422481496,1.29689433062578,1.33103151519554,1.13288801326371
"24",29,51,1.06433503394291,0.978086146493795,0.978079941264284,0.966421190965701,0.939382558147181,1.16928571428571,1.42603196874415,0.995172715320742,1.14589022281889,1.77917404565132,1.2013837108722,1.84776849463243,1.22391443357454,1.33670194003527,0.875562169312169,1.38137759657281,1.30451132201132,0.983935427714165,1.0640558389833
"25",30,37,0.804447448887244,0.82852031658043,0.84988104794201,0.832203899061966,0.860212145126659,0.790398767898768,0.784916499419799,0.757255046540761,0.778679637401417,1.12771765271765,0.914212928373812,0.922127068133924,0.795873006025846,0.766951258617925,0.675231481481481,1.20706888880908,0.853805607972275,0.794581541103089,0.723675048959551
"26",31,20,0.926585792386324,0.885547991529699,0.858551588031804,0.799807111991323,0.811805347596176,1.06642992424242,1.0555880064355,0.749166682681389,0.75446161902371,1.48790598290598,0.853208494721653,0.911456911186627,0.682703476551911,1.56654135338346,1.06547619047619,1.06696826724001,1.21471033868093,0.882940303911555,0.905434957399809
"27",32,17,1.01678628691432,1.04772070355562,1.11117513564128,1.27528375823119,1.21766158722361,0.994477513227513,1.26732065069169,2.05638250638251,1.66526688453159,0.501282051282051,1.15605079089824,1.0990469449812,1.57004758227668,0.864761904761905,0.886363636363636,1.26741363211951,0.946132004441056,1.05353106415506,0.964237368190602
"28",33,21,0.81882014923492,0.731021912047942,0.816370229938256,0.774598633849108,0.837474595873305,0.695722795722796,0.77049880943827,0.792159090909091,0.773516724503567,0.92,0.86410982017328,0.870153674745512,0.985905633025449,0.722929292929293,1.071875,1.11587301587302,0.983822884243052,0.737841885320622,0.69853721561534
"29",34,10,0.817397725442888,0.835956330647227,0.803775038440034,0.931901399727487,0.864724742952965,0.599240265906933,0.616915584415584,0.999762583095916,0.885149572649573,1.12654320987654,0.787101885620626,0.784937611121822,0.662556887556888,1.10720298220298,0.680092592592593,0.815693473193473,1.11221263944174,0.844705419535597,0.976997828282951
"30",35,10,0.865997310769054,1.09614448051948,0.948487503825067,0.882693602693603,0.871452183630042,0.992311507936508,0.985926097037208,1.28313797313797,1.15751914557314,0.698095238095238,0.885260037348273,0.796227272727273,0.712995391705069,0.981481481481482,1,0.729915786827552,0.987878787878788,1.09530429892213,1.06180742414651
"31",36,6,0.54423222669021,0.45537518037518,0.56233164983165,0.633053613053613,0.625376823948253,0.290909090909091,0.463911170528818,0.606240981240981,0.728888888888889,0.729166666666667,0.499749373433584,0.595940936458178,1.00444444444444,0.65,0.666666666666667,1.04292929292929,0.759523809523809,0.441346844110444,0.292323815433793
"32",37,10,0.984162154937183,1.10639674051439,1.04439372333849,1.21013347763348,1.00353524300529,0.65249433106576,0.856043151654787,1.16537993920973,1.13637157062092,1.09506302521008,1.14924898785425,1.15117810646318,1.08919294213412,1.10820105820106,1.43142361111111,1.09768115942029,1.53579961704962,0.953805526585929,1.17335911233579
"33",38,4,1.05282961191891,1.11517857142857,1.41240583088409,1.17251845376845,1.49076986232159,0.555555555555556,1.07589285714286,3.5,2.16666666666667,1.66666666666667,1.3233630952381,1.35416666666667,0.631845238095238,1.22222222222222,2,0.660714285714286,0.855902777777778,1.1708911021411,0.854986709427816
"34",39,4,0.738163886402955,1.03257918552036,0.911889290862271,1.09113965744401,0.962154616302483,1.25974025974026,0.901973684210526,1.73412698412698,1.52777777777778,0.611111111111111,0.74198717948718,0.8359375,0.921474358974359,1.16666666666667,0.833333333333333,0.417763157894737,0.708333333333333,1.05162344866262,1.34760474759957
"35",40,4,1.14179316025374,1.22478991596639,1.02902804957599,0.93452380952381,0.723502758077226,1.5,1.51495726495726,2.77272727272727,2.72916666666667,2.13235294117647,0.726800595238095,0.715728715728716,0.532828282828283,0.866666666666667,0.5,0.534313725490196,1.85357142857143,1.36432768171899,1.1143845132361
"36",41,5,0.905360546435785,0.957872943227634,1.34651799181211,0.884868875086266,1.28626878868258,6,2.18333333333333,0.735,0.589102564102564,0.809285714285714,1.06947044334975,0.875217810978681,1.07954545454545,0.617857142857143,0.625,0.367045454545455,0.782251082251082,1.85046080964686,-20.9539499386575
"37",42,3,0.54644893052062,0.70906862745098,0.77971495779715,0.661191626409018,0.90207336523126,0.766233766233766,0.627272727272727,0.522222222222222,0.633333333333333,0.612179487179487,0.45577485380117,0.496915634846669,0.564814814814815,0.875,0.833333333333333,0.644444444444444,0.762237762237762,0.693654398906555,0.460284500895325
"38",43,6,0.778393311949663,0.657894736842105,0.694878319889116,0.633007369614512,0.674192699192699,0.788888888888889,0.792508544087491,0.851565904139434,0.811549707602339,1.08142857142857,0.774342349304868,0.758209423426815,0.970739793501942,0.830808080808081,0.341666666666667,0.484821428571429,1.47047397047397,0.703593037807985,0.680485100423997
"39",44,3,0.73870818274488,0.795055821371611,0.740667343836098,0.870813397129186,0.773110066588327,0.333333333333333,0.333333333333333,0.893939393939394,1.01690821256039,0.619528619528619,0.91421568627451,0.847984496124031,0.8625,1.11111111111111,0.571428571428571,1.33333333333333,0.852380952380952,0.793617235477701,0.750708417925852
"40",45,5,1.06477365713899,1.11603768235685,1.25393778198313,1.03774922751667,1.19709008240978,1.30555555555556,1.49723193473193,1.12102564102564,1.21857142857143,1.96833333333333,1.08674136321195,1.18602164119405,0.602352941176471,1.72,0.958333333333333,0.900854700854701,2.26071428571429,1.13732413904828,1.11486883662368
"41",46,9,0.904395203827903,0.873332896704544,0.910611824962584,0.809971361120786,0.867880620570679,1.60952380952381,1.3018981018981,0.552352422450462,0.523160358160358,0.324404761904762,1.55145903479237,1.15510107176774,0.904164970831637,1.07037037037037,0.666666666666667,0.612004662004662,1.31658156658157,0.860319829608292,1.17821100161721
"42",47,3,1.70495771958538,1.39259259259259,1.54259259259259,1.04761904761905,1.83333333333333,1,1.53333333333333,0.833333333333333,2.55555555555556,0,1.25,1.22222222222222,2.09803921568627,0.6,NA,3.91666666666667,1.44444444444444,1.75186649099693,2.30645986895987
"43",48,7,1.67309249054904,3.50555858707119,2.30068686397302,1.03629785247432,0.931288119987248,1.82698412698413,1.62209150326797,1.31157407407407,1.16217116217116,0.888888888888889,1.22755102040816,1.28735116178725,1.3753530286139,0.858333333333333,0.45,1.92460317460317,2.85405071119357,2.96519546251072,3.28864626392822
"44",49,3,0.600279869046254,0.564367816091954,0.674132066402928,0.562794612794613,0.762715203891674,0.5,0.400383141762452,0.774019607843137,0.816516816516816,0.738095238095238,0.89037037037037,0.838034188034188,1.26666666666667,0.8,0.233333333333333,1.32136752136752,0.796085858585859,0.60356919503261,0.568677876427428
"45",50,2,0.664437984496124,0.550653594771242,0.447368421052632,0.689542483660131,0.391547049441786,0,0.416666666666667,7,4.55555555555556,0.35,0.928571428571429,0.718954248366013,0.138888888888889,0,0.857142857142857,0.583333333333333,0.652777777777778,0.722222222222222,1.22590022505626
"46",51,3,0.443215148822187,0.383870967741935,0.4413096482062,0.348873182456391,0.419990503323837,0.447619047619048,0.483766233766234,0.499692118226601,0.482432432432432,0.25,0.357560568086884,0.342592592592593,0.274099226561026,0.458333333333333,0.333333333333333,0.738927738927739,0.459401709401709,0.407305222974145,0.309614847834954
"47",52,1,0.324561403508772,0.416666666666667,0.358974358974359,0.333333333333333,0.321428571428571,0.666666666666667,0.454545454545455,1,2,2,0.714285714285714,1,0.4,0,0,0.333333333333333,0.545454545454545,0.482758620689655,0.476635514018692
"48",54,1,0.185185185185185,0,0.104166666666667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.833333333333333,0,-0.180288461538462
"49",60,2,0.548824130879346,0.585294117647059,0.628745837957825,0.569230769230769,0.616830065359477,0.25,0.235294117647059,0.528571428571429,0.570833333333333,0.75,0.50952380952381,0.589783281733746,0.488636363636364,0.25,1,0.564102564102564,0.676767676767677,0.577568134171908,0.52229892614508
"50",79,1,0.671641791044776,0.916666666666667,0.606060606060606,2.25,1.75,0.25,0.24,NA,NA,NA,1.4,1.8,0.428571428571429,0.333333333333333,2,0.3125,1.125,1.03125,2.53921568627451
"51",80,1,0.903030303030303,0.763157894736842,0.7875,0.961538461538461,0.877551020408163,0.333333333333333,0.645161290322581,0.833333333333333,0.941176470588235,0.6,0.928571428571429,0.842105263157895,0.333333333333333,0.166666666666667,NA,1.5,0.75,0.72,0.539310344827586
"52",84,1,0.798657718120805,0.4,0.611111111111111,0.266666666666667,0.459459459459459,0.8,0.941176470588235,0.608695652173913,0.8,0.25,0.75,0.625,0.708333333333333,0.266666666666667,0.333333333333333,0.9,1.26666666666667,0.5,0.244732576985413
"53",110,1,0.862068965517241,0.714285714285714,0.5,0.833333333333333,0.714285714285714,0,0,0,0,1.66666666666667,0,0.714285714285714,NA,0,0,NA,1.25,0.555555555555556,0.292397660818713
"54",131,1,0.5,0.9,0.833333333333333,2.66666666666667,1.625,0.142857142857143,0.545454545454545,2,1.5,1.25,0.461538461538462,0.647058823529412,0.428571428571429,2,2,1,0.692307692307692,0.870967741935484,0.908496732026144
"55",153,1,0.541666666666667,1.28571428571429,1.10526315789474,0.666666666666667,0.411764705882353,5,7,0,0,0,1.09090909090909,0.75,0,0,4,0,1.14285714285714,1.27777777777778,0.986928104575163
